阶段,模块,子模块,状态,架构完成,实现完成,功能验收,测试基线,验收方式,备注
P6 生成与校验,答案校验,反向检索与一致性,已验收,是,是,是,校验通过率≥85%,离线评测,已实现基于证据重合度的轻量一致性校验，支持短答案在证据全覆盖时通过；验收：pytest tests/test_qa.py（verify_status=PASS）；验收：pytest tests/test_qa.py（short answer）
P6 生成与校验,回退策略,LLM超时与不可用回退,已验收,是,是,是,回退输出可用,接口测试,已实现LLM失败或校验失败时回退为证据摘要；验收：pytest tests/test_qa.py（fallback）
P7 API接口,问答接口,/api/qa/query,已验收,是,是,是,端到端返回答案与证据,集成测试,已实现问答接口并返回evidence/citations/graph；验收：pytest tests/test_api_endpoints.py（/api/qa/query）；手工E2E：上传 docs/e2e-acceptance-kimi.txt 并构建索引后询问 What is the secret code? 返回 908172635，verify_status=PASS，citations包含 e2e-acceptance-kimi.txt
P7 API接口,文档接口,/api/documents/*,已验收,是,是,是,上传与查询成功,集成测试,已实现上传/列表/详情接口；验收：pytest tests/test_documents.py（upload）；app/api/routes/documents.py
P7 API接口,结构树接口,/api/documents/{id}/tree,已验收,是,是,是,结构树可视化一致,集成测试,已实现结构树接口与tree输出；验收：pytest tests/test_documents.py（/tree）
P7 API接口,反馈接口,/api/feedback,已验收,是,是,是,反馈入库成功,集成测试,已实现反馈提交与落盘；验收：pytest tests/test_api_endpoints.py（/api/feedback）
P7 API接口,健康检查,/health 与 /ready,已验收,是,是,是,返回系统版本与索引状态,集成测试,"已实现/health与/ready并包含索引状态；验收：pytest tests/test_health.py（/health,/ready）"
P8 评测与验收,评测集,问答与证据标注,进行中,是,否,否,至少50条高质量样本，覆盖多题型,人工抽检,已提供评测集JSON模板与样例，需补齐>=50条
P8 评测与验收,指标计算,检索与生成指标,已验收,是,是,是,MRR/NDCG/覆盖率产出,自动脚本,已实现评测指标计算与report输出；验收：pytest tests/test_eval.py（report 输出）
P8 评测与验收,评测报告,结果汇总与可追溯报告,已验收,是,是,是,报告可复现,人工抽检,已输出report.json与report.csv；验收：pytest tests/test_eval.py（report.json/csv）
P8 评测与验收,性能测试,延迟与吞吐,进行中,是,否,否,P95≤8秒,压测脚本,评测脚本已记录单次延迟与P95，尚未压测
P9 安全与运维,权限与脱敏,访问控制与日志脱敏,未开始,否,否,否,敏感信息不落盘,安全检查,毕业设计可简化
P9 安全与运维,备份与恢复,索引与文档备份,未开始,否,否,否,支持全量备份与恢复,演练记录,可选项
